group_id,conference_name,logo
57,NCAA Division II,
104,CIAA,
107,GLIAC,
146,Great American Conference,
108,Great Lakes,
165,Great Midwest Athletic Conference,
110,Gulf South,
112,Independent DII,
116,Lone Star,
118,Mid America,
144,Mountain East Conference,
127,Northeast 10,
129,Northern Sun,
133,Pennsylvania State Athletic Conference,
135,Rocky Mountain,
136,SIAC,
139,South Atlantic,
58,NCAA Division III,
114,American Rivers Conference,
100,American Southwest,
102,CCIW,
103,Centennial,
123,Conference of New England,
105,ECFC,
106,Empire 8,
111,Heartland,
113,Independent DIII,
178,Landmark Conference,
115,Liberty League,
160,Massachusetts State Collegiate Athletic Conference,
117,Michigan,
119,Middle Atlantic Conference,
120,Midwest,
121,Minnesota,
128,Northern Athletics Collegiate Conference,
122,NESCAC,
166,New England Women's and Men's Athletic Conference,
124,New Jersey,
126,North Coast,
130,Northwest,
131,Ohio,
132,Old Dominion,
134,Presidents',
138,So. Cal.,
147,Southern Athletic Association,
148,Southern Collegiate Athletic Conference,
143,USA South,
142,Upper Midwest,
145,Wisconsin,
80,FBS (I-A),
1,Atlantic Coast Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/acc.png
151,American Athletic Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/american.png
4,Big 12 Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/big_12.png
5,Big Ten Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/big_ten.png
12,Conference USA,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/conference_usa.png
18,FBS Independents,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/fbs_independents.png
15,Mid-American Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/mid_american.png
17,Mountain West Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/mountain_west.png
9,Pac-12 Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/pac_12.png
8,Southeastern Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/sec.png
37,Sun Belt Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/sun_belt.png
81,FCS (I-AA),
20,Big Sky Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/big_sky.png
179,Big South-OVC Association,
48,Coastal Athletic Association,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/caa.png
32,FCS Independents,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/fcs_independents.png
22,Ivy League,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/ivy.png
24,Mid-Eastern Athletic Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/meac.png
21,Missouri Valley Football Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/missouri_valley.png
25,Northeast Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/northeast.png
27,Patriot League,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/patriot_league.png
28,Pioneer Football League,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/pioneer.png
31,Southwestern Athletic Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/swac.png
29,Southern Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/southern.png
30,Southland Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/southland.png
177,United Athletic Conference,
